stop_id,stop_name,stop_desc,stop_lat,stop_lon
001,Hågat Mayor's Office,Hågat. Multiple lines depart from this stop. This stop can be used to connect lines.,13.388854670874746,144.66196128693295
002,7 Day Supermarket,Yona,13.399864939969785,144.7722727641944
003,Acanta Mall,Tumon. Multiple lines depart from this stop. This stop can be used to connect lines. This is a terminal. All lines depart from here.,13.508294026569828, 144.80545627956616
004,Across Century Plaza,Tamuning,13.492917408845656, 144.79229302037194
005,Across Fountain Plaza,Tumon,13.503910244386025, 144.79690465156733
006,Adelup Complex,Anigua,Multiple lines depart from this stop. This stop can be used to connect lines. This is a terminal. All lines depart from here.,13.478276876046285, 144.73002548031812
007,Agana Heights Mayor,Agana Heights,13.465934910534264, 144.74939946475723
008,Asan Mayor's Office,Asan,13.472706045226497, 144.7196253096968
009,Astumbo Community Center,Dededo,13.558387742175519, 144.8471642250626
010,Baltej Pavilion,Tamuning,13.495986021527221, 144.78187186059307
011,Baptist Church Entrance,Hågat,13.386008041498602, 144.6625995376874
012,Barrigada Mayor's Office,Barrigada,13.469568740877031, 144.8005959001071
013,Barrigada Post Office,Barrigada,13.478906324367738, 144.81044210339007
014,Batulo (Marine Corps Drive),Dededo,13.515774692514315, 144.8547837510631
015,Baza Gardens,Yona,13.378190567177018, 144.7504010990151
016,Before AAFB Traffic Light,Yigo,13.565621495151712, 144.90278373346555
017,Bell Tower,Anigua,13.480138919403666, 144.74188839883251
018,Buenas Mart,Yona,13.409848890776617, 144.7768845414558
019,Burger King (across Tumon Sands Plaza),Tumon,13.510051404645965, 144.8070279642239
020,Talo'fo'fo' Fire Station,Talo'fo'fo',13.353828804850208, 144.75647333240644
021,Calvary Baptist Church,Tumon,13.503591890704046, 144.79953975052862
022,Calvo Building (Next to Fatima Mobil),Dededo,13.520333966237848, 144.82800369522514
023,Century Plaza,Tamuning,13.493079701144643, 144.79432951764613
024,Chalan Castro Entrance (NCTAMS),Dededo,13.581277209346304, 144.85458317238337
025,Chalan Evangelista,Yigo,13.550491070955344, 144.89320132973393
026,Chalan Pago Church,Chalan Pago,13.43935577416543, 144.78001400174404
027,Chalan Ramirez Entrance (Hwy 9),Dededo,13.582443738224741, 144.8880566012361
028,Citibank East Agana,Hagåtña,13.477957366370068, 144.76247674399417
029,Cost-U-Less Traffic Light,Harmon,13.511039250751379, 144.82457054888158
030,Dededo Mayor's Office,Dededo,13.51779806184943, 144.84069354942858
031,Dededo Public Health,Dededo. Multiple lines depart from this stop. This stop can be used to connect lines. This is a terminal. All lines depart from here.,13.523164256801474, 144.83474802614333
032,Famz Restaurant (Old Fortune Cookie),Dededo,13.491246477255222, 144.7902232817422
033,Farenholt Joy Market,Tamuning,13.497693370226527, 144.77972737856308
034,Fern Terrace Entrance,Dededo,13.571024316671938, 144.85256853355506
035,Field before Wendy's,Barrigada,13.463286952068415, 144.8022475198192
036,Fish Eye Marine Park,Asan,13.470013284275613, 144.70679060338767
037,Fountain Plaza (Bus Stop),Tumon,13.504448726289258, 144.79750296640304
038,GCIC Building (Rear),Anigua,13.477074655119912, 144.74605236529328
039,GIAA Departures (Airport),Tamuning,13.49256378165539, 144.80502665739766
040,GovGuam Retirement Building,Matie,13.476832220946639, 144.7656432223377
041,GPO,Tamuning,13.490303353422197, 144.7819053050228
042,GRMC Rt3 (NCS Rd),Dededo,13.525095806792201, 144.82389985487512
043,GTA,Tumon,13.50367436582418, 144.80607926550454
044,Guam Community College,Mangilao,13.440109253580717, 144.80806821270443
045,Guam Medical Plaza,Tamuning. Multiple lines depart from this stop. This stop can be used to connect lines. This is a terminal. All lines depart from here.,13.49855590623729, 144.77508643822037
046,Guam Memorial Hospital (GMH) Entrance,Tamuning,13.505052098240402, 144.7754617622772
047,Guam Regional Medical City Rt.3,Dededo,Multiple lines depart from this stop. This stop can be used to connect lines. This is a terminal. All lines depart from here.,13.524949768558127, 144.8240929739193
048,GW Football Field (Stop sign),Mangilao,13.438209105508257, 144.8022150000565
049,Hafa Adai Specialist Group,Tamuning,13.50227842977628, 144.78679601809796
050,Hågat Fish Market,Hågat,13.388023018860231, 144.6598128604245
051,Hagåtña Pool Parking Lot,Hagåtña. Multiple lines depart from this stop. This stop can be used to connect lines. This is a terminal. All lines depart from here.,13.4728150570627, 144.75776199905332
052,Harmon Drugs,Harmon. Multiple lines depart from this stop. This stop can be used to connect lines.,13.518478079477772, 144.81775688466195
053,Hava Java, behind Agana Post Office,Hagåtña,13.475970888948325, 144.75147291439654
054,Hilton Hotel Entrance,Tumon,13.505440471198423, 144.7865530433981
055,Humåtak Fire Station,Humåtak. Multiple lines depart from this stop. This stop can be used to connect lines. This is a terminal. All lines depart from here.,13.292216198163375, 144.66346722788612
056,Humåtak Mayor's Office,Humåtak,13.298720409713649, 144.66410065857235
057,Hyatt Hotel (bus stop),Tumon,13.51232669658959, 144.8050581278898
058,Hyundai Entrance,Santa Rita-Sumai,13.394600395714654, 144.67483278795854
059,Iglesia Ni Cristo Church (Rt 16),Harmon,13.513780843370812, 144.82089356912851
060,Inalåhan Mayors Office,Inalåhan,13.275659243607116, 144.74936812510032
061,Inalåhan Public Health,Inalåhan,13.282711805237053, 144.75581381994473
062,Intersection into Wusstig Rd (Marine Dr),Dededo,13.51859577239225, 144.86677960164286
063,Island Fresh Supermarket,Chalan Pago,13.442552616691977, 144.77124425930666
064,ITC Building,Tamuning,13.486942343443898, 144.78352027038133
065,JFK High School Rt 1,Tamuning,13.501162804411706, 144.79814435487475
066,Joann's Bakery Bus Stop,Yigo,13.525726681031303, 144.88347348186045
067,JP Super Store,Tumon,13.515709589372612, 144.80811615672562
068,Julale Center (Green Bus Stop),Hagåtña,13.47587642173298, 144.74696445857552
069,Kayen Kaskado (entrance),Harmon,13.51376644752756, 144.83641378585105
070,Kmart Traffic Light,Tamuning,13.501321311695689, 144.79962232711728
071,La Familia Store,Dededo,13.536020277006413, 144.85180370662462
072,Malesso' Mayor's Office,Malesso',13.271580971575311, 144.67532520275083
